job_title,skills,salary_lpa,automation_risk,category
Software Engineer,Java Python DSA Git OOP SystemDesign,12,5,IT
Frontend Developer,HTML CSS JavaScript React Redux TypeScript,8,12,IT
Backend Developer,NodeJS Express MongoDB SQL API REST,11,9,IT
Full Stack Developer,React NodeJS MongoDB JavaScript HTML CSS,13,7,IT
Python Developer,Python Django Flask API Pandas NumPy,10,8,IT
Java Developer,Java Spring SpringBoot Hibernate SQL,11,6,IT
DevOps Engineer,AWS Docker Kubernetes Jenkins CICD Linux,15,6,IT
Cloud Engineer,AWS Azure GCP CloudArchitecture Terraform,16,5,IT
Data Scientist,Python MachineLearning DeepLearning SQL Statistics,14,7,IT
Data Analyst,SQL Python Excel PowerBI Pandas Statistics,6,18,IT
Machine Learning Engineer,Python TensorFlow PyTorch ML DeepLearning,16,4,IT
AI Engineer,Python NLP ComputerVision Transformers LLM,18,3,IT
Data Engineer,Python SQL Spark Hadoop ETL Airflow,13,8,IT
Business Analyst,SQL Excel Tableau Communication Requirements,7,35,IT
Product Manager,ProductManagement Agile Scrum Roadmapping Analytics,18,12,IT
QA Engineer,ManualTesting AutomationTesting Selenium JIRA API,6,22,IT
Automation Test Engineer,Selenium Java Python Cucumber TestNG,7,15,IT
UI UX Designer,Figma AdobeXD Wireframing Prototyping UserResearch,7,10,IT
Mobile App Developer,Android Kotlin iOS Swift ReactNative Flutter,9,11,IT
iOS Developer,Swift Xcode iOS UIKit SwiftUI,12,9,IT
Android Developer,Kotlin Java Android Studio Firebase,10,10,IT
Game Developer,Unity C# UnrealEngine GameDesign,8,14,IT
Blockchain Developer,Solidity Web3 Ethereum SmartContracts,15,7,IT
Cyber Security Analyst,Security Networking Firewall EthicalHacking,11,12,IT
Network Engineer,Networking CCNA Routing Switching TCPIP,5.5,18,IT
System Administrator,Linux Windows Server ActiveDirectory,6,20,IT
Database Administrator,SQL Oracle MySQL PostgreSQL DBA,9,3,IT
IT Support Specialist,TechnicalSupport Troubleshooting Hardware,4,65,IT
Technical Writer,Documentation TechnicalWriting API Documentation,6,25,IT
Scrum Master,Agile Scrum JIRA TeamManagement,12,20,IT
Site Reliability Engineer,SRE Kubernetes Docker Monitoring Linux,17,5,IT
Salesforce Developer,Apex Salesforce LWC Integration,11,8,IT
SAP Consultant,SAP ABAP SAPModules ERP,13,15,IT
ERP Consultant,ERP SAP Oracle Implementation,12,18,IT
Business Intelligence Developer,PowerBI Tableau SQL DataWarehousing,9,22,IT
ETL Developer,ETL Informatica SSIS SQL DataWarehousing,8,25,IT
Big Data Engineer,Hadoop Spark Kafka Hive Scala,14,7,IT
Cloud Architect,AWS Azure SolutionArchitecture CloudSecurity,22,4,IT
Solutions Architect,SystemDesign Architecture CloudDesign,20,6,IT
Technical Architect,Architecture SystemDesign Microservices,24,5,IT
RPA Developer,UiPath AutomationAnywhere BluePrism RPA,9,12,IT
IoT Engineer,IoT EmbeddedSystems Arduino RaspberryPi,8,15,IT
AR VR Developer,Unity ARKit ARCore VRDevelopment,10,12,IT
Embedded Systems Engineer,C C++ EmbeddedSystems Microcontroller,7,18,IT
Firmware Engineer,C EmbeddedSystems Firmware RTOS,8,16,IT
Web Designer,HTML CSS Photoshop Figma ResponsiveDesign,5,20,IT
WordPress Developer,WordPress PHP HTML CSS JavaScript,5,35,IT
PHP Developer,PHP Laravel MySQL JavaScript,6,28,IT
